dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,18.911595,5.355026,18.961383,3.971781,-0.017665,0.000031,0.065879
0.050000,19.109720,5.367942,19.159928,3.970898,-0.017663,0.000045,0.064318
0.050000,19.307820,5.380542,19.358429,3.970015,-0.017660,0.000060,0.062710
0.050000,19.505897,5.392816,19.556886,3.969132,-0.017656,0.000076,0.061055
0.050000,19.703950,5.404755,19.755298,3.968250,-0.017651,0.000093,0.059353
0.050000,19.901979,5.416349,19.953667,3.967368,-0.017646,0.000112,0.057603
0.050000,20.099985,5.427590,20.151991,3.966486,-0.017639,0.000132,0.055806
0.050000,20.297966,5.438468,20.350271,3.965604,-0.017631,0.000154,0.053962
0.050000,20.495924,5.448973,20.548507,3.964723,-0.017622,0.000177,0.052071
0.050000,20.693857,5.459098,20.746699,3.963842,-0.017612,0.000201,0.050132
0.050000,20.891766,5.468831,20.944848,3.962962,-0.017601,0.000227,0.048146
0.050000,21.089650,5.478165,21.142952,3.962083,-0.017588,0.000255,0.046113
0.050000,21.287509,5.487090,21.341012,3.961204,-0.017574,0.000284,0.044033
0.050000,21.485343,5.495597,21.539028,3.960326,-0.017558,0.000315,0.041905
0.050000,21.683150,5.503676,21.737001,3.959449,-0.017541,0.000347,0.039731
0.050000,21.880931,5.511319,21.934929,3.958573,-0.017522,0.000381,0.037510
0.050000,22.078685,5.518517,22.132814,3.957698,-0.017501,0.000416,0.035242
0.050000,22.272837,5.525142,22.327079,3.885303,-1.447896,-28.607893,0.032969
0.050000,22.459728,5.531097,22.514065,3.739705,-2.911968,-29.281445,0.030738
0.050000,22.639271,5.536423,22.693687,3.592453,-2.945035,-0.661339,0.028556
0.050000,22.811471,5.541158,22.865952,3.445290,-2.943256,0.035580,0.026426
0.050000,22.976328,5.545345,23.030862,3.298213,-2.941552,0.034071,0.024354
0.050000,23.133846,5.549024,23.188423,3.151217,-2.939924,0.032563,0.022343
0.050000,23.284027,5.552234,23.338638,3.004298,-2.938371,0.031058,0.020398
0.050000,23.426872,5.555015,23.481511,2.857453,-2.936894,0.029555,0.018524
0.050000,23.562385,5.557403,23.617045,2.710679,-2.935491,0.028055,0.016722
0.050000,23.690568,5.559437,23.745243,2.563971,-2.934163,0.026561,0.014998
0.050000,23.811422,5.561151,23.866110,2.417325,-2.932909,0.025072,0.013355
0.050000,23.924950,5.562578,23.979646,2.270739,-2.931730,0.023588,0.011795
0.050000,24.031154,5.563753,24.085857,2.124207,-2.930624,0.022112,0.010322
0.050000,24.130035,5.564705,24.184743,1.977728,-2.929592,0.020642,0.008939
0.050000,24.221597,5.565465,24.276308,1.831296,-2.928633,0.019179,0.007648
0.050000,24.305840,5.566059,24.360553,1.684909,-2.927747,0.017723,0.006451
0.050000,24.382767,5.566513,24.437482,1.538562,-2.926933,0.016275,0.005350
0.050000,24.452379,5.566850,24.507094,1.392253,-2.926192,0.014834,0.004348
0.050000,24.514677,5.567093,24.569393,1.245976,-2.925522,0.013400,0.003447
0.050000,24.569664,5.567261,24.624380,1.099730,-2.924923,0.011973,0.002647
0.050000,24.617339,5.567370,24.672055,0.953511,-2.924395,0.010552,0.001951
0.050000,24.657705,5.567437,24.712421,0.807314,-2.923938,0.009137,0.001360
0.050000,24.690761,5.567474,24.745478,0.661136,-2.923552,0.007727,0.000874
0.050000,24.716510,5.567492,24.771226,0.514974,-2.923236,0.006322,0.000495
0.050000,24.734951,5.567498,24.789668,0.368825,-2.922990,0.004920,0.000222
0.050000,24.746086,5.567500,24.800802,0.222684,-2.922814,0.003522,0.000058
0.050000,24.749913,5.567500,24.804629,0.076549,-2.922708,0.002125,0.000001
0.050000,24.750000,5.567500,24.804716,0.001741,-1.496154,28.531068,0.000000
0.050000,24.750000,5.567500,24.804716,0.000000,-0.034818,29.226717,0.000000
